Title,Author,Citation,Issue,Type ,Description
,,1 AALL Spectrum 2 (1996-1997),Issue 6,contents,Table of Contents - Issue 6
Presidential Proclamation,"Houdek, Frank G.",1 AALL Spectrum 4 (1996-1997),Issue 6,comments,Presidential Proclamation
,,1 AALL Spectrum 5 (1996-1997),Issue 6,comments,Spectrumail
Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 6 (1996-1997),Issue 6,comments,Comment
Planning for Technology,"Cullen, Terry A.",1 AALL Spectrum 7 (1996-1997),Issue 6,article,Feature
What Librarians Should Know about the American Law Institute and ALI-ABA,"Kyriakodis, Harry",1 AALL Spectrum 10 (1996-1997),Issue 6,article,Feature
Electronic Publication Covers Legislative Research,"Giangrande, Mark",1 AALL Spectrum 13 (1996-1997),Issue 6,article,Feature
Portfolio,,1 AALL Spectrum 14 (1996-1997),Issue 6,notes,Feature
Open All Night - A Circulation Fantasy,"Kleinschmidt, Bruce",1 AALL Spectrum 25 (1996-1997),Issue 6,article,Feature
,,1 AALL Spectrum 2 (1996-1997),Issue 7,contents,Table of Contents - Issue 7
Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 4 (1996-1997),Issue 7,comments,Comment
,,1 AALL Spectrum 5 (1996-1997),Issue 7,comments,Spectrumail
Responding to a Law Librarian's Response: A Virtual Symposium,,1 AALL Spectrum 6 (1996-1997),Issue 7,comments,Feature
"Baltimore Sampler: Charm City at a Glance, A","Morrison, Anne",1 AALL Spectrum 15 (1996-1997),Issue 7,article,Feature
President's Briefing,,1 AALL Spectrum 17 (1996-1997),Issue 7,notes,Feature
AALL Board Report,"Siebers, Susan P.",1 AALL Spectrum 22 (1996-1997),Issue 7,notes,Feature
"Proposed AALL Bylaws Amendments Approved by the AALL Executive Board, 3/1/97",,1 AALL Spectrum 24 (1996-1997),Issue 7,notes,Feature
AALL Directory and Handbook 1996-1997 - Errata,,1 AALL Spectrum 27 (1996-1997),Issue 7,notes,Feature
"Dateline AALL - April 1, 1997",,1 AALL Spectrum 36 (1996-1997),Issue 7,notes,Notes
,,1 AALL Spectrum 1 (1996-1997),Issue 8,contents,Table of Contents - Issue 8
,,1 AALL Spectrum 2 (1996-1997),Issue 8,comments,Spectrumail
"Oscar Night Fantasy... Barbara and A.J., An","Houdek, Frank G.",1 AALL Spectrum 4 (1996-1997),Issue 8,comments,Presidential Proclamation
Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 7 (1996-1997),Issue 8,notes,Notes
Law Librarians - Positioning for Our Future Impact on the Legal Community,"Siebers, Susan P.",1 AALL Spectrum 8 (1996-1997),Issue 8,article,Feature
AALL Co-Sponsors Satellite Videoconference,,1 AALL Spectrum 13 (1996-1997),Issue 8,notes,Feature
Current Awareness in the Law: Legal Periodical Information,"Ebbinghouse, Carol",1 AALL Spectrum 15 (1996-1997),Issue 8,article,Feature
,,1 AALL Spectrum 1 (1996-1997),Issue 8,notes,The CRIV Sheet
"Lawyers of Summer: Confessions of a Born-Again Law Librarian Baseball Fanatic, The","Cornaby, Mary",1 AALL Spectrum 20 (1996-1997),Issue 8,article,Feature
"Emperor's New Clothes Are on the Internet, The","Todd, Kay",1 AALL Spectrum 32 (1996-1997),Issue 8,comments,Feature
,,1 AALL Spectrum 1 (1996-1997),Issue 9,comments,Spectrumail
,,1 AALL Spectrum 2 (1996-1997),Issue 9,contents,Table of Contents - Issue 9
Washington Brief,"Baish, Mary Alice",1 AALL Spectrum 4 (1996-1997),Issue 9,notes,Notes
It's Time to Unlock Our Doors - Why We Should Broaden Our Membership Now - An Open Letter to AALL Members from President Frank Houdek,,1 AALL Spectrum 6 (1996-1997),Issue 9,comments,Feature
"Acute Schizophrenia Disease, or, My Life as AALL President - The Pop Quiz","Houdek, Frank G.",1 AALL Spectrum 8 (1996-1997),Issue 9,comments,Presidential Proclamation
Guarding Frank,"Duggan, James",1 AALL Spectrum 9 (1996-1997),Issue 9,notes,Feature
Librarian: Who's Entitled to the  Title - Should Librarians Have the MLS Degree,"Reinke, Janet",1 AALL Spectrum 12 (1996-1997),Issue 9,article,Feature
Matching Library Vision with Institutional Mission: The Library as Web Author and Publisher,"Germain, Claire M.",1 AALL Spectrum 16 (1996-1997),Issue 9,article,Feature
Singing the Bluebook Blues: A Review of the Sixteenth Edition - The New Edition Isn't Quite What Was Hoped For - A Tale of Expectations Unmet and Promise Unfulfilled,"Rees, Warren D.",1 AALL Spectrum 20 (1996-1997),Issue 9,article,Feature
"Doing Easy Time in the King County Jail - Amy and Jean Spend a Night in Jail and Learn First-Hand about Direct Supervision, Racking up, and Administrative Segregation - Yikes","Eaton, Amy",1 AALL Spectrum 21 (1996-1997),Issue 9,article,Feature
"Behind Closed Doors - Or, a Member's View of an AALL Executive Board Meeting","Tulis, Susan E.",1 AALL Spectrum 23 (1996-1997),Issue 9,comments,Feature
Program Planning - Ideas for Improvement,"Janto, Joyce Manna",1 AALL Spectrum 24 (1996-1997),Issue 9,article,Feature
"Packing List for the AALL Annual Meeting Baltimore, July 19-24","Sandison, Betsy",1 AALL Spectrum 40 (1996-1997),Issue 9,notes,Feature
From the Editor,"Beck, Peter",1 AALL Spectrum 1 (1996-1997),Issue 10,comments,From the Editor
,,1 AALL Spectrum 2 (1996-1997),Issue 10,contents,Table of Contents - Issue 10
From the Executive Director,"Parent, Roger H.",1 AALL Spectrum 4 (1996-1997),Issue 10,comments,From the Executive Director
Washington Brief ,"Baish, Mary Alice",1 AALL Spectrum 6 (1996-1997),Issue 10,notes,Notes
Beef Up Your Browser: Using Helper Applications and Plug-ins,"Cullen, Terry",1 AALL Spectrum 8 (1996-1997),Issue 10,article,Feature
New Directions in Professional Development - Our Newest Committee Is Taking AALL down the Right Road,,1 AALL Spectrum 13 (1996-1997),Issue 10,notes,Feature
AALL 1997 Annual Business Meeting Agenda,,1 AALL Spectrum 16 (1996-1997),Issue 10,notes,Feature
President's Briefing,,1 AALL Spectrum 17 (1996-1997),Issue 10,comments,Feature
Annual Awards Program,,1 AALL Spectrum 21 (1996-1997),Issue 10,notes,Feature
Justice Must Not Only Be Done - It Must Be Seen to Be Done - Why the Camera Belongs in the Courtroom,"Klieman, Rikki J.",1 AALL Spectrum 23 (1996-1997),Issue 10,article,Feature
Index to AALL Spectrum,,1 AALL Spectrum 30 (1996-1997),Issue 10,index,Feature: Index
,,2 AALL Spectrum [i] (1997-1998),,titlepage,Title Page
,,2 AALL Spectrum 2 (1997-1998),Issue 1,contents,Table of Contents - Issue 1
Out of Bounds,"Trammell, Rebecca S.",2 AALL Spectrum 10 (1997-1998),Issue 1,article,Feature
Law Library of Congress Digitizes Historical Collections,"Davis, Judith",2 AALL Spectrum 12 (1997-1998),Issue 1,article,Feature         
Annual Meeting Keynoter Addresses Integrity,"Burch, Sue",2 AALL Spectrum 14 (1997-1998),Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section
Leadership Skills for the Law Library Manager,"Lewis, Sheri",2 AALL Spectrum 16 (1997-1998),Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section
Teaching Legal Research Redux,"Aranas, Pauline M.",2 AALL Spectrum 20 (1997-1998),Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section
Five Guys Who Went down to Colchester in 1180 and Why We Have a Thousand F.2ds Lying About,"Hoffman, John",2 AALL Spectrum 22 (1997-1998),Issue 1,notes,Feature: Baltimore - AALL Annual Meeting Section
Take Me out to the Reference Desk,"Brown, Ladd",2 AALL Spectrum 36 (1997-1998),Issue 1,article,Feature
Invest in AALL: Volunteer for a Committee,"Heller, Jim;Bausch, Donna",2 AALL Spectrum 1 (1997-1998),Issue 2,notes,Note              
,,2 AALL Spectrum 4 (1997-1998),Issue 2,contents,Table of Contents - Issue 2
Future of SOLO Librarianship ,"Siess, Judith A.",2 AALL Spectrum 10 (1997-1998),Issue 2,article,Feature
Exploring the National Digital Library: A Day at the Library of Congress,"Nobunaga, Wendy",2 AALL Spectrum 13 (1997-1998),Issue 2,article,Feature
We Don't Need It - We Can't Afford It - Go Away,"Benneman, William",2 AALL Spectrum 14 (1997-1998),Issue 2,article,Feature
KeyCite - A New Electronic Citation Service,"Giangrande, Mark",2 AALL Spectrum 16 (1997-1998),Issue 2,notes,Feature: Note         
,,2 AALL Spectrum 17 (1997-1998),Issue 2,notes,Feature: President's Briefing
AALL Delays Open Membership,"Dyer, Charles R.",2 AALL Spectrum 36 (1997-1998),Issue 2,article,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 3,notes,From the Editor
,,2 AALL Spectrum 4 (1997-1998),Issue 3,contents,Table of Contents - Issue 3
"Other Side of the Table, The   ",Lemann Catherine ,2 AALL Spectrum 10 (1997-1998),Issue 3,notes,Feature     
Exhibiting at CTC5,"Billings, Carol",2 AALL Spectrum 12 (1997-1998),Issue 3,notes,Feature: The Other Side of the Table
AALL and the Code of Ethic: Time for a Change,"Axtmann, Margaret Maes",2 AALL Spectrum 13 (1997-1998),Issue 3,article,Feature: Revising the AALL Code of Ethics
Revision of the AALL Code of Ethics - Role of an Ethics Code,"Monaco, Ralph A.",2 AALL Spectrum 14 (1997-1998),Issue 3,article,Feature: Revising the AALL Code of Ethics
"Principles for Licensing Electronic Resources - Final Draft - July 15, 1997",,2 AALL Spectrum 16 (1997-1998),Issue 3,notes,Feature         
,,2 AALL Spectrum 1 (1997-1998),Issue 3,notes,Feature: The CRIV Sheet
,,2 AALL Spectrum 1 (1997-1998),Issue 4,contents,Table of Contents - Issue 4
Volunteering: A Parable,"Saint-Onge, Michael ",2 AALL Spectrum 2 (1997-1998),Issue 4,article,Feature
Digital Signatures: Identity in Cyberspace,"Coyle, Karen",2 AALL Spectrum 8 (1997-1998),Issue 4,article,Feature
Certification: Context and Development,"Cox, Cayl;McKillip, Jack",2 AALL Spectrum 12 (1997-1998),Issue 4,notes,Feature
,,2 AALL Spectrum 18 (1997-1998),Issue 4,reviews,Feature: Book Review
AALL Biennial Salary Survey 1997,"Blixrud, Julia",2 AALL Spectrum 20 (1997-1998),Issue 4,notes,Feature: Survey
President's Briefing,,2 AALL Spectrum 23 (1997-1998),Issue 4,notes,Feature
Copyright and Law Librarian's Ethics,"Cochran, Wes",2 AALL Spectrum 28 (1997-1998),Issue 4,notes,Feature
,,2 AALL Spectrum 30 (1997-1998),Issue 4,notes,Feature: Biographies and Statements        
"Duchess of Windsor, Tom Cruise and Me, The","Benemann, William",2 AALL Spectrum 48 (1997-1998),Issue 4,article,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 5,contents,Table of Contents - Issue 5
Paralegal: Friend or Foe,"Shimpock, Kathy E.",2 AALL Spectrum 6 (1997-1998),Issue 5,article,Feature
UCC Article 2B - Some Preliminary Comments on a New Issue for the Library Community,"Oakley, Robert L.",2 AALL Spectrum 14 (1997-1998),Issue 5,comments,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 5,notes,Feature: The CRIV Sheet
"Sublime Time in Anaheim, A","Smith, Dorene S.",2 AALL Spectrum 25 (1997-1998),Issue 5,notes,Feature
,,2 AALL Spectrum 29 (1997-1998),Issue 5,reviews,Feature: Book Review
Librarian Chic Is Not an Oxymoron,"Dixon, Edna S.",2 AALL Spectrum 32 (1997-1998),Issue 5,comments,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 6,contents,Table of Contents - Issue 6
Increased Involvement = Increased Enjoyment,"Janto, Joyce Manna",2 AALL Spectrum 2 (1997-1998),Issue 6,article,Feature
"Meet the Superintendent of Documents: Francis J. Buckley, Jr.","Tulis, Susan E.",2 AALL Spectrum 4 (1997-1998),Issue 6,notes,Feature
"Devil's Advocate: How Computer Forensics Can Support Both Sides of Computer Litigation, The","Robbins, Judd",2 AALL Spectrum 6 (1997-1998),Issue 6,article,Feature
Guidelines on the Fair Use of Copyrighted Works by Law Libraries ,,2 AALL Spectrum 14 (1997-1998),Issue 6,notes,Feature
Be a Better Writer,"Johnston, Janis L.",2 AALL Spectrum 26 (1997-1998),Issue 6,notes,Feature
Count on It,,2 AALL Spectrum 28 (1997-1998),Issue 6,notes,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 7,contents,Table of Contents - Issue 7
Damage Control,"Bredemeyer, Carol",2 AALL Spectrum 2 (1997-1998),Issue 7,notes,Feature: Public Relations
Librarian Trainer - An Evolution,"Gregor, Pamela",2 AALL Spectrum 4 (1997-1998),Issue 7,notes,Feature: Reports from the Public and Private Sector
Melding - The Library and Network/Computer Services Worlds,"Daily-Herrman, Kathleen ",2 AALL Spectrum 6 (1997-1998),Issue 7,notes,Feature
,,2 AALL Spectrum 17 (1997-1998),Issue 7,notes,Feature: President's Briefing
Salary Survey Data Results ,,2 AALL Spectrum 24 (1997-1998),Issue 7,notes,Feature: Survey
Computers and the Internet Ethical Concerns,"Abate, Anne K.",2 AALL Spectrum 28 (1997-1998),Issue 7,notes,Feature
Orange County - Symbol of the California Dream,"Giourgas, Annamarie ",2 AALL Spectrum 30 (1997-1998),Issue 7,notes,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 8,contents,Table of Contents - Issue 8
Successful Presentations (Or How to Avoid a Public Speaking Nightmare),"Dugan, Laura Olsen",2 AALL Spectrum 4 (1997-1998),Issue 8,notes,Feature         
"Information Migration - CD-ROM, Web, or DVD","Kautzman, Amy M.",2 AALL Spectrum 6 (1997-1998),Issue 8,notes,Feature
Job Sharing Offers Pluses and Minuses ,"March, Virginia S.",2 AALL Spectrum 13 (1997-1998),Issue 8,article,Feature
"Copyright - Permission, Please","Hu, Haibin ",2 AALL Spectrum 20 (1997-1998),Issue 8,article,Feature
Salary Survey Data Results ,,2 AALL Spectrum 24 (1997-1998),Issue 8,notes,Feature: Survey
"Digital Legal Information: Here Today, Gone Tomorrow ","Germain, Claire M.",2 AALL Spectrum 27 (1997-1998),Issue 8,article,Feature
Ethics &(and) Public Service,"Schlueter, Kay",2 AALL Spectrum 28 (1997-1998),Issue 8,article,Feature
How to Get around Anaheim/Orange County,"Smith, Doreen S.",2 AALL Spectrum 32 (1997-1998),Issue 8,notes,Feature
,,2 AALL Spectrum 1 (1997-1998),Issue 9,contents,Table of Contents - Issue 9
Rally for the Right to Read,"Kissel, Sharon ",2 AALL Spectrum 4 (1997-1998),Issue 9,article,Feature         
