,Author,Number of Publications
899,"Thomas, Martha ",1
900,"Kirk, Darcy ",1
901,"Baumam, Walter",1
902,"Morton, Christine",1
903,"Wong, Leslie",1
904,"Roeske, Betty",1
905,"Hart, Patricia Pelz ",1
906,"Martin, Meg",1
907,"Hinchcliff, Carole L.",1
908,"Chessler, Besty",1
909,"Schmit, Carol J.",1
910,"Berne, Kevin ",1
911,"Stilwell, Jocelyn D. ",1
912,"Vanderheijden, Mike",1
913,"Chen, Sean",1
914,"Spearman, DeCarlous ",1
915,"Beal, Joanne ",1
916,"Carino, Paul",1
917,"Collins, Kristine L. ",1
918,"Hinchliff, Carole",1
919,"Wishinsky, Janet",1
920,"Lynn-Nelson, Gayle",1
921,"Vondruska, Eloise M.",1
922,"Matthews, Richard J.",1
923,"Lowry, Charles",1
924,"Kauffman, Blair",1
925,"Beltz, Ed",1
926,"Hanson, Joy",1
927,"McKinney, Richard J.",1
928,"Phillips, Heather Anne",1
929,"Hart, Edward T.",1
930,"Kelley, Sara",1
931,"Lewis-Somers, Susan",1
932,"Meger, Jennifer",1
933,"Poydras, Phebe",1
934,"Well, Maureen",1
935,"Boone, Tom",1
936,"Donahoe, Diana R.",1
937,"Hounshell, JoAnn",1
938,"Jones, Katie",1
939,"Edinger, Elizabeth A. (I)",1
940,"Fisher, Charles",1
941,"Kelleher, Sue",1
942,"Well, Maureen D.",1
943,"Marzolla, Mary K.",1
944,"Mikyska, Halle",1
945,"Eggert, Maureen A.",1
946,"Fowler, Susan G.",1
947,"Wong, Frances A.",1
948,"Goodman, Naomi ",1
949,"Barr, Melissa",1
950,"Jalowka, Claudia",1
951,"Ullian, Jeanne T. ",1
952,"Burgh, Scott G.",1
953,"Garvey, Patricia A. ",1
954,"Bellevue, Sue ",1
955,"Yates, Elizabeth",1
956,"Peoples, Lee",1
957,"Railey, Valerie ",1
958,"Hartnett, Kit",1
959,"Falken, Linda",1
960,"Fessenden, Ann T.",1
961,"Cordova, Daniel B. ",1
962,"Irvin, Sally A.",1
963,"Whipple, P. Michael ",1
964,"Holt, Barbara Cornwell",1
965,"Jaque, Diana C. ",1
966,"Voisinet, David",1
967,"Kalnins, Karen E. ",1
968,"McNeil, Jack ",1
969,"Will, Linda G. ",1
970,"Daley, Laurie",1
971,"Siegel, Kama",1
972,"Morgan, Judy",1
973,"Wilson, Mareth ",1
974,"Jones, Julie M. ",1
975,"Leiter, Richard A. ",1
976,"Yirka, Carl A. ",1
977,"Monk, Patti",1
978,"Hale-Janke, Amy",1
979,"Altshuler, Alyssa",1
980,"Pereria, Cornelius A. ",1
981,"Wells, William W. Jr.",1
982,"Parker, Carol",1
983,"Marion, Phyllis C. ",1
984,"Noland, Julie ",1
985,"Behrens, Jennifer",1
986,"Vou Dulum, Timothy C. ",1
987,"Greenlee, Ed",1
988,"Davis, Michael T. ",1
989,"Maes, Margaret K. ",1
990,"Leming, Tracy",1
991,"Shea, Alison",1
992,"McGrath, Ellen",1
993,"Richards, Robert",1
994,"Baith, Mary Alice",1
995,"Etheredge, Stacy ",1
996,"Baker, Marcia L. Dority ",1
997,"Johnson, Hazel L. ",1
998,"Sellers, Christine L. ",1
999,"Schampel, Joyce Larson ",1
1000,"Kemper, Cynthia",1
1001,"Braceros, Charity S. ",1
1002,"Kaczonowski, Monice M.",1
1003,"Estes, Mark A. ",1
1004,"Galligan, Sara",1
1005,"Crawford, Marjorie ",1
1006,"McDermott, Peggy ",1
1007,"Behrens, Jennifer L. ",1
1008,"Ellenberger, Jack S.",1
1009,"Preuss, Nathan",1
1010,"Orr, Laura J. ",1
1011,"Esrig, Judith D. ",1
1012,"Mao, David S.",1
1013,"Spohr, Cindy ",1
1014,"Kemper, David",1
1015,"Lee, Sarah Hooke",1
1016,"Vogel, Carissa",1
1017,"Rush, Mila",1
1018,"Healey, Paul  D.",1
1019,"Wayne, Erika V.",1
1020,"Duffy, Jill",1
1021,"Pierre, Vivica",1
1022,"Hebert, Madeline",1
1023,"Johnson, Brent L.",1
1024,"Winterton, Jules",1
1025,"Edmonds, Ed",1
1026,"Jung, Mary Kay",1
1027,"Gott, Gary",1
1028,"Hazelton, Penny",1
1029,"Franklin, Jonathan",1
1030,"Hood, Mary D.",1
1031,"Linz, Robert ",1
1032,"Grant, Virginia",1
1033,"Murphy, Miriam ",1
1034,"Oakley, Bob",1
1035,"Rogers, Carol N.",1
1036,"Davidson, Stephanie",1
1037,"Williams, Colleen C.",1
1038,"Adelman, Elizabeth G.",1
1039,"Schwartz, Rhonda",1
1040,"Hepler, Christine I.",1
1041,"Engsberg, Rebecca Baldwin",1
1042,"Monk, Patricia R.",1
1043,"Henderson, Charlotte Graesser",1
1044,"Moorman, Paul J.",1
1045,"Stanton, Teresa C.",1
1046,"Garces, Vicente E.",1
1047,"Bannen, Carol",1
1048,"Nixon, Donna",1
1049,"Hensiak, Kathryn",1
1050,"Miller, Michael S.",1
1051,"Hankins, Rhonda",1
1052,"Neugebauer, Lee",1
1053,"Parker, Pat",1
1054,"Platt, Nina",1
1055,"Ortiz, Raquel",1
1056,"Mullin, Patrick J.",1
1057,"Ingham, Andy",1
1058,"Christianson, Kelly",1
1059,"Devlin, Kelly",1
1060,"Sloan, Bernie",1
1061,"Genovese, Robert",1
1062,"Parker, Mary Ann",1
1063,"Lord, Hazel",1
1064,"Aronson, Shirley",1
1065,"Sleeman, Bill",1
1066,"Santanella, Carolyn",1
1067,"Cheatham, Cheryl Smith",1
1068,"Coolidge, Katherine",1
1069,"Ford, Don",1
1070,"Robinson, Caitlin",1
1071,"Holterboff, Sally",1
1072,"Mumm, James A.",1
1073,"Hinchcliff, Carole I.",1
1074,"Williamson, Victoria",1
1075,"Oster, Dianne",1
1076,"Roznovschi, Mirela",1
1077,"Pratter, Jonathan",1
1078,"Petitcollot, Pascal",1
1079,"Zwirner, Gail F.",1
1080,"Flader, Judith A.",1
1081,"Healey, Paul ",1
1082,"Hart, James W.",1
1083,"Fowler, Susan",1
1084,"Kim-Prieto, Dinnis C.",1
1085,"Embser-Herbert, Elvira",1
1086,"Slade, Ellie",1
1087,"Kaskey, Sid",1
1088,"Bridgman, Tracey Gray",1
1089,"Kelly, James",1
1090,"Adams, Lauren",1
1091,"Turpening, Patricia",1
1092,"Engstrom, Barbara Swatt",1
1093,"Hartley, Jan",1
1094,"Kezele, Susan",1
1095,"Norris, Maya",1
1096,"Noordin, Shaikh Mohamed",1
1097,"Rastorfer, Renee",1
1098,"Albertus, Kris",1
1099,"O'Brien, Maryellen",1
1100,"Jones, D.R.",1
1101,"Myers, Robert R.",1
1102,"Gaylor, Philleatra",1
1103,"Laws, Jennifer",1
1104,"Custer, Joseph A.",1
1105,"Rosenberg, Jason",1
1106,"Smith-Butler, Lisa",1
1107,"Persyn, Mary G.",1
1108,"Hochstetler, Marcus ",1
1109,"Bintliff, Barbara A.",1
1110,"Campbell, Daniel R.",1
1111,"Arndt, Donald ",1
1112,"Hawkins, Margie",1
1113,"Smith, Beth ",1
1114,"David, Shirley Hart",1
1115,"Partin, Gail",1
1116,"Milles, James G.",1
1117,"Graesser, Christine",1
1118,"Miller, Janine",1
1119,"Tillett, Barbara",1
1120,"Layne, Benjamin",1
1121,"Yates, Sarah",1
1122,"Malcolm, Shannon",1
1123,"Dingledy, Fred",1
1124,"Ott, Lenie",1
1125,"Honsowitz, Aletha",1
1126,"Lord, Lissa",1
1127,"Trammell, Rebecca",1
1128,"Brunner, Karen B.",1
1129,"Johnson, Phill",1
1130,"Tessmer, Julie ",1
1131,"Midkiff, Stephanie ",1
1132,"Knott, Christopher",1
1133,"Wells, Mary L.",1
1134,"Marz, Sandra",1
1135,"Wenger, Jean",1
1136,"Engsberg, Mark D.",1
1137,"Linz, Robert",1
1138,"Kelleher, Sue E.",1
1139,"Williams, Mary Elizabeth",1
1140,"Raymond, D. Jason",1
1141,"Eastland, Craig",1
1142,"Counts, Mitchell",1
1143,"Dunn, Catherine M. ",1
1144,"Nuckolls, Karen A.",1
1145,"Goodman, Lisa A.",1
1146,"Podvia, Mark W.",1
1147,"Wiant, Sarah K.",1
1148,"Hall, Katherine ",1
1149,"Senter, Jim",1
1150,"Moran, Maureen",1
1151,"Jolowke, Claudia ",1
1152,"Herch, Frank Alan",1
1153,"Beck, Karen",1
1154,"Hardy, Cathy",1
1155,"Selby, Jennifer",1
1156,"Anderson, Maureen Halliden",1
1157,"Bertelli, Frances",1
1158,"O'Donnell, Julia",1
1159,"Siwa, Christopher",1
1160,"Payne, Robert S.",1
1161,"Mawhinney, Suzanne",1
1162,"Nemchek, Lee",1
1163,"Hazelton, Penny A.",1
1164,"Tang, Lorna",1
1165,"Barrette, Linda",1
1166,"Cassidy, Joni Lynn",1
1167,"Milhorat, Jill Yael",1
1168,"Smith, Regina L.",1
1169,"Warren, Gail ",1
1170,"Curci-Ganzalez, Lucy",1
1171,"Rieger, Lucy",1
1172,"Thomas, Marsha C.",1
1173,"Douglas, Karen",1
1174,"Membiela, Clara D.",1
1175,"McNeely, Christopher",1
1176,"Bernstein, Melissa",1
1177,"Probst, Steven R.",1
1178,"Axton, Neal R.",1
1179,"Joergensen, John P.",1
1180,"Baisch, Mary Alice",1
1181,"Thibodeas, Patricia L.",1
1182,"Dillon, Andrew",1
1183,"Rice-Lively, Mary Lynn",1
1184,"Baggett, Kevin",1
1185,"Melamut, Steven ",1
1186,"Novak, Matthew",1
1187,"Afuso, Pauline",1
1188,"Ginsborg, Michael",1
1189,"Feldman, Emily",1
1190,"McLennon, Rita A.",1
1191,"Williams, Melissa A.",1
1192,"Lanphear, Leslie",1
1193,"Jaramillo, Sarah",1
1194,"Femenia, Gabriela",1
1195,"Chearham, Cheryl",1
1196,"Wells, Jaeger",1
1197,"Baugh, Jane",1
1198,"Davitt, Jennifer",1
1199,"Fermenia, Gabriela",1
1200,"Flick, Amy",1
1201,"Uribe, Vanessa",1
1202,"Kelsey, Mary Jane",1
1203,"Robertson, Linda",1
1204,"Tucker, Kimberly",1
1205,"Campos, Matha Cook",1
1206,"Hersch, Kimberlee M.",1
1207,"Jones, D. R.",1
1208,"Berry, Cynthia",1
1209,"Randall, Lynn",1
1210,"Dugan, Joanne",1
1211,"Huffnagle, Stephanie A.",1
1212,"Ball, Stephanie J.",1
1213,"Bennett, Donna",1
1214,"Hassler, Carol",1
1215,"Boeringer, Greta ",1
1216,"Christman, Vanessa",1
1217,"Rhodes, Elizabeth",1
1218,"Witman, Sara",1
1219,"Lazun, Mary Jo",1
1220,"Feltron, Emily",1
1221,"Gilbertson, Jordan",1
1222,"Nicholson, Carol Avery",1
1223,"Camargo-Pohl, Susana ",1
1224,"Vander Heijden, Mike",1
1225,"Galglish, Jennifer",1
1226,"Kozikowski, Chester",1
1227,"Mecklem, Susan",1
1228,"Graham, Suzanne R.",1
1229,"Daly, Patrick S.",1
1230,"Brewer, Jim",1
1231,"Johnson, Elizabeth",1
1232,"Lapachet, Jaye A. H.",1
1233,"Dabney, L. Cindy",1
1234,"Barnes, Elizabeth",1
1235,"Brammer, Robert M.",1
1236,"Lucero, Michele A.",1
1237,"Schmidt, Michelle ",1
1238,"Ertin, Umit",1
1239,"Neacsu, Dana",1
1240,"Chagat, Jonathan N.",1
1241,"Davis, Laurel E.",1
1242,"Gregory, Gwen",1
1243,"Levenson, Helen N.",1
1244,"Cofield, Maleniae",1
1245,"Solon, Kasia",1
1246,"Heath, Annette",1
1247,"Xichen, Zheo",1
1248,"Willis, Sandra",1
1249,"Will, Linda",1
1250,"Katz, Janet C.",1
1251,"Splina, Carli",1
1252,"Callihan, Jean M.",1
1253,"Cheatham, Cheryl ",1
1254,"Elisha, Matthew R.",1
1255,"Daniels, Bethany",1
1256,"Tominello, Rosemarie",1
1257,"Castleberry, Crata",1
1258,"Cattarell, Susan",1
1259,"Fessenden, Ann",1
1260,"Norton, Crystal Sherman",1
1261,"Katz, Janet",1
1262,"Cronin, Charles",1
1263,"Bouthilet, Nancy Scibelli",1
1264,"Smith, Jill A.",1
1265,"Kolonay, Brittany",1
1266,"Stivers, Robert S.",1
1267,"Aggerbeck, Valerie R.",1
1268,"Kaufman, Billie Jo",1
1269,"Papa, Stephanie ",1
1270,"Morrow, Trina I.",1
1271,"Donovan, Annemarie",1
1272,"Gemellaro, Elizabeth ",1
1273,"Adams, Cindy",1
1274,"Deemer, Pam",1
1275,"Sullivan, Kathie J. ",1
1276,"Dickson, Constance P.",1
1277,"Niemeier, Cheryl ",1
1278,"Strojny, Duane A.",1
1279,"Gray, Kevin",1
1280,"Riccio, Holly M. ",1
1281,"Campbell, Leslie M. ",1
1282,"Strojny, Duane A. ",1
1283,"Bridgman, Tracey Gray ",1
1284,"Baker, Hillary",1
1285,"Green, Laura",1
1286,"Berwick, Philip C. ",1
1287,"My, Evelyn",1
1288,"Morais, Yasmin",1
1289,"Fox, Darin K. ",1
1290,"Hart, James W. ",1
1291,"Geeslin, Will",1
1292,"Trotta, Tory",1
1293,"Hirsh, Ken",1
1294,"Garvey, Patricia A.",1
1295,"Lapachet, Jaye A.H.",1
1296,"Rubin, Andrea",1
1297,"Levine, Dodi",1
1298,"Tuohy, Nancy L.",1
1299,"McNeill, Jack",1
1300,"Anderson, Anita",1
1301,"Cui, Sheila",1
1302,"Perry, Nichelle J.",1
1303,"Cahill, Maureen",1
1304,"Silber, Karen ",1
1305,"Skalbeck, Roger V. ",1
1306,"Maser, Beth",1
1307,"Dykes, Christopher C.",1
1308,"Railey, Valerie A.",1
1309,"Watson, Regina A. ",1
1310,"Greene, Katherine",1
1311,"Killoran, Mary ",1
1312,"Jiang, Yumin",1
1313,"Trimble, Donna",1
1314,"Snipes, Scott",1
1315,"Esrig, Judith D.",1
1316,"Salz, Ryan",1
1317,"Schmitt, Carol",1
1318,"Olejnikova, Lucie",1
1319,"Warner, Marnie Marie",1
1320,"Mitchell, Michelle I. ",1
1321,"Fraley, Ruth A.",1
1322,"Brunner, Karen B. ",1
1323,"Springman, Jason",1
1324,"Tarpinian, Lori",1
1325,"Linz, Robert M. ",1
1326,"Crego, Susannah",1
1327,"Wegner, Judith Welch",1
1328,"GawneMark, Devin",1
1329,"Nichols, Sarah",1
1330,"Butler, Meg",1
1331,"Belz, E.H. Uwe",1
1332,"Leers, Susanna",1
1333,"Neary, May Ann",1
1334,"Wilson, Geroge D. ",1
1335,"Leming, Theresa",1
1336,"Knecht, Elaine",1
1337,"Harris, Lesley Ellen",1
1338,"Aznar, David",1
1339,"Linnane, Mary Lu",1
1340,"Weeks, Olivia L.",1
1341,"Vaughan, Richard",1
1342,"Frazier, Jennifer",1
1343,"Hudson, Chris",1
1344,"DiMattia, Susan S.",1
1345,"Rees, Warren",1
1346,"Sellers, Christine",1
1347,"Lynn, Katie",1
1348,"Mauldin, Sarah",1
1349,"Nann, John B.",1
1350,"Bernal, Marie-Louise",1
1351,"Schroeder, Alan T. Jr.",1
1352,"Wambold, Sally Hill",1
1353,"Brunner, Karen",1
1354,"Sims, Lee",1
1355,"Strike, Theresa",1
1356,"Martin, Kate",1
1357,"Morrell, Harvey K.",1
1358,"Nelson, Kristin",1
1359,"Adams, Jennifer",1
1360,"Railey, Valeria A.",1
1361,"Ito, Todd",1
1362,"Nuckolls, Karen",1
1363,"Quist, Amanda",1
1364,"Warmath, Lyn",1
1365,"Fuller, Ronald",1
1366,"McNett, Meredith",1
1367,"McPhail, Ross",1
1368,"Anderson, Steven",1
1369,"Hall, Margaret F.",1
1370,"Smith, Sallie",1
1371,"Helge, Kris",1
1372,"Marshall, Stephanie K.",1
1373,"Askey, Phyllis",1
1374,"Beltz, E.H. Uwe",1
1375,"Leichter, Janice ",1
1376,"Orrick, Michael",1
1377,"Blatz, Aimee",1
1378,"Fritschel, Barbara",1
1379,"Schmidt, Michelle",1
1380,"Orndoff, Loretta",1
1381,"Lutkenhaus, Rebecca",1
1382,"Covington, Tori",1
1383,"Goldstein, Diane M.",1
1384,"Jackson, George",1
1385,"Glasbrenner, Gloria Jean",1
1386,"Wheeler, Ronald",1
1387,"Garces, Vincente ",1
1388,"Koulikov, Mikhail",1
1389,"Barish, Mary Alice",1
1390,"Perlin, Daniel",1
1391,"Barskaitiki, Kimberly ",1
1392,"Gire, Judith",1
1393,"Berwick, Phil",1
1394,"Schmitt, Carol J.",1
1395,"Smith, John A.",1
1396,"Horst, Julie",1
1397,"Stockert, Kate",1
1398,"Melamut, Steven J.",1
1399,"Manion, Terrance",1
1400,"Maschke, Michael C.",1
